variable;Ca_canopy;K_canopy;Mg_canopy;Na_canopy;C_canopy;N_canopy;P_canopy;C:N_canopy;C:P_canopy;N:P_canopy
clay;;0.5;0.5;;;0.6;0.5;-0.6;-0.6;-0.4
silt;;;-0.4;;;;;;;0.4
sand;-0.4;-0.4;;-0.4;0.4;-0.4;;0.5;0.4;
exch_Ca;0.9;0.5;;0.8;-0.4;0.4;0.4;-0.4;-0.4;
exch_K;0.9;0.5;0.4;0.7;-0.5;0.5;0.5;-0.6;-0.5;
exch_Mg;0.9;0.6;0.5;0.7;-0.4;0.6;0.6;-0.6;-0.5;
exch_base;0.9;0.5;;0.8;-0.4;0.4;0.4;-0.5;-0.4;
CEC_eff;0.8;0.5;0.4;0.6;-0.5;0.5;0.5;-0.5;-0.5;
base_CEC_eff;0.9;0.5;0.4;0.8;-0.4;0.5;0.4;-0.5;-0.5;
total_Ca;0.9;0.4;;0.7;-0.4;0.4;0.4;-0.5;-0.4;
total_K;0.8;0.4;;0.7;-0.4;;0.4;-0.4;-0.4;
total_Mg;0.7;0.5;0.5;0.4;-0.4;0.6;0.6;-0.7;-0.6;
total_Na;0.5;0.6;0.8;;;0.7;0.8;-0.7;-0.6;-0.5
TRB;0.8;0.5;0.4;0.6;-0.4;0.5;0.5;-0.6;-0.5;
total_N;;;;;;0.4;0.4;-0.4;-0.4;-0.4
total_P;;;0.4;;;0.4;0.6;-0.4;-0.5;-0.5
Bio-P;0.6;0.4;;;;;;;;
