variable;C_canopy;N_canopy;P_canopy;C:N_canopy;C:P_canopy;N:P_canopy;Ca_canopy;K_canopy;Mg_canopy;Na_canopy
C_canopy;1;-0.4;-0.4;0.6;0.7;0.4;-0.5;-0.4;;
N_canopy;-0.4;1;0.8;-0.9;-0.8;-0.4;0.4;0.7;0.7;
P_canopy;-0.4;0.8;1;-0.7;-0.9;-0.8;0.4;0.8;0.8;
C:N_canopy;0.6;-0.9;-0.7;1;0.8;;-0.5;-0.7;-0.7;
C:P_canopy;0.7;-0.8;-0.9;0.8;1;0.8;-0.5;-0.8;-0.7;
N:P_canopy;0.4;-0.4;-0.8;;0.8;1;;-0.6;-0.5;
Ca_canopy;-0.5;0.4;0.4;-0.5;-0.5;;1;0.5;0.4;0.7
K_canopy;-0.4;0.7;0.8;-0.7;-0.8;-0.6;0.5;1;0.6;
Mg_canopy;;0.7;0.8;-0.7;-0.7;-0.5;0.4;0.6;1;
Na_canopy;;;;;;;0.7;;;1
